,TIME OCC,Vict Age,Crm Cd Desc,AREA NAME,Vict Sex,Premis Desc,Weapon Desc,LOCATION
878937,300,46,37,3,0,189,58,496
878942,2235,36,56,16,1,188,58,9529
878945,400,46,4,10,1,75,70,10041
878946,1350,77,2,0,1,199,56,6415
878949,155,43,2,14,0,165,66,8465
878953,227,32,4,0,0,189,58,7907
878965,1030,29,37,14,0,189,58,614
878966,1800,30,37,9,0,199,58,5668
878969,1800,51,14,12,1,182,68,6368
878970,2120,61,2,1,1,188,8,3520
878971,1300,63,14,6,1,165,68,2727
878972,1730,65,2,16,1,158,50,6948
878977,212,23,62,15,1,199,24,9573
878978,1530,35,4,14,0,199,58,737
878984,900,53,10,8,0,183,37,5606
878994,1550,33,4,9,0,151,58,1676
879004,1230,29,10,0,1,160,24,7004
879011,2035,36,10,2,1,199,24,9823
879014,1045,49,72,12,0,218,68,5926
879018,1930,35,2,12,1,158,23,9751
879020,1700,46,56,10,1,164,43,2366
879026,1020,31,75,15,0,149,58,1233
879036,14,30,14,9,0,199,68,9652
879037,1323,35,23,2,1,199,70,8872
879038,1830,65,4,7,1,151,58,7851
879039,800,25,37,3,0,199,58,9936
879046,1500,40,37,17,1,188,58,2316
879064,1700,30,14,12,1,218,24,6935
879077,1800,30,36,0,0,165,69,3228
879080,1350,25,37,15,0,151,58,2763
879083,500,48,37,13,0,151,58,6706
879084,1110,43,4,19,0,22,58,10039
879089,820,17,37,12,0,67,58,7777
879091,1410,29,2,8,1,199,24,7720
879103,2020,73,72,12,0,218,68,4623
879107,1100,64,2,11,0,48,56,2742
879114,1100,25,16,7,0,189,58,8951
879125,1000,23,2,19,1,158,68,7286
879130,2340,33,4,0,1,158,58,5636
879138,1700,35,10,14,0,151,27,614
879141,1415,82,4,15,0,199,58,9381
879156,1340,37,4,10,1,189,58,4611
879160,2100,52,43,3,1,189,58,7937
879161,2230,44,2,0,0,199,66,9888
879169,1220,21,36,14,0,151,29,8557
879171,2140,63,2,9,1,199,68,5643
879182,2330,60,4,16,1,59,58,7570
879184,120,29,2,3,0,199,0,9005
879186,2225,16,2,19,1,165,24,7115
879199,1555,48,23,14,1,189,70,511
879205,1600,54,23,14,1,199,70,7441
879229,645,24,23,12,1,218,70,3544
879230,1030,55,43,6,0,189,68,2687
879231,1035,26,56,11,1,188,32,4841
879234,1215,51,4,0,1,189,58,376
879237,1020,27,2,2,0,188,45,9857
879244,2215,21,37,7,0,199,58,9830
879247,1500,55,37,12,1,189,58,5891
879252,1750,17,10,16,0,188,28,9923
879255,1250,24,4,19,0,189,58,3470
879259,615,28,2,4,1,60,66,3520
879261,705,20,43,19,1,199,58,9857
879263,335,62,14,12,1,48,68,5229
879270,900,29,4,11,0,189,58,2002
879272,2230,32,10,5,1,189,70,4782
